Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
184377244,483414002143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134506374,,,996,700,995,691,997,709,0.0603,0.2161,-0.97451,-0.02856,0.2198,-0.97513,3.796,3.855,3.827,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,272.4,189.0,272.9,194.1,0.5188,0.6482,0.5183,0.6395,0.5193,0.6568,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184381244,483414006143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134510374,,,993,695,992,690,995,701,0.05893,0.21591,-0.97463,-0.02939,0.21658,-0.97582,3.804,3.858,3.826,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,271.4,188.9,272.3,191.8,0.5174,0.644,0.5165,0.639,0.5183,0.6489,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184385244,483414010143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134514374,,,993,695,989,689,996,701,0.05808,0.21546,-0.97478,-0.0291,0.2168,-0.97578,3.808,3.861,3.827,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,270.8,188.5,272.5,192.0,0.517,0.6437,0.5154,0.6379,0.5186,0.6495,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184385495,483414010394,Mouse,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,1215,845
184389244,483414014143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134518374,,,996,696,997,689,995,702,0.06103,0.21543,-0.97461,-0.0293,0.21706,-0.97572,3.781,3.853,3.828,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,272.9,188.6,272.4,192.2,0.5188,0.6441,0.5193,0.638,0.5184,0.6501,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184393244,483414018143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134522374,,,994,699,989,693,999,705,0.05789,0.21697,-0.97446,-0.02798,0.218,-0.97555,3.784,3.858,3.827,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,270.7,189.7,273.3,192.8,0.5176,0.6471,0.5151,0.6417,0.5201,0.6525,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184395570,483414020469,Mouse,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,1224,845
184397244,483414022143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134526374,,,991,699,988,691,994,706,0.05757,0.2164,-0.97461,-0.02963,0.2184,-0.97541,3.798,3.856,3.82,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.2,270.4,189.2,272.1,193.1,0.5163,0.6469,0.5147,0.6403,0.5179,0.6535,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184401244,483414026143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134530374,,,989,696,989,695,989,698,0.05768,0.21777,-0.97429,-0.03166,0.21537,-0.97602,3.795,3.858,3.824,,,,Valid,Valid,230.1,37.7,682.3,292.9,40.4,682.1,270.5,190.2,270.7,190.9,0.5151,0.6448,0.5149,0.6437,0.5153,0.646,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
184405244,483414030143,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1134534374,,,991,698,988,695,993,700,0.05747,0.21777,-0.97431,-0.03019,0.21617,-0.97589,3.775,3.853,3.823,,,,Valid,Valid,230.1,37.8,682.3,292.9,40.4,682.1,270.4,190.3,271.8,191.5,0.5159,0.6458,0.5146,0.6437,0.5172,0.648,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,996,363,995,698,0.5183,0.6466,,,,,,,,,,,
