Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
387824554,483617449453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337955518,,,967,758,967,758,968,758,0.04094,0.2434,-0.96906,-0.04639,0.23787,-0.97019,3.71,3.696,3.71,,,,Valid,Valid,235.4,34.4,688.9,298.0,38.4,689.2,264.5,207.4,265.0,207.4,0.5039,0.7018,0.5035,0.7017,0.5043,0.7018,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387826439,483617451338,Mouse,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,990,953
387828554,483617453453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337959518,,,963,759,959,755,968,764,0.03807,0.2425,-0.9694,-0.04667,0.23993,-0.96967,3.71,3.7,3.714,,,,Valid,Valid,235.4,34.4,688.9,298.0,38.4,689.3,262.5,206.7,264.8,209.0,0.5017,0.7032,0.4996,0.6993,0.5039,0.707,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387832554,483617457453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337963518,,,966,757,963,754,968,760,0.03952,0.24216,-0.96943,-0.04647,0.23853,-0.97002,3.724,3.719,3.707,,,,Valid,Valid,235.4,34.4,688.8,298.0,38.4,689.2,263.5,206.4,264.9,207.9,0.5029,0.7009,0.5015,0.6984,0.5042,0.7034,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387836554,483617461453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337967518,,,967,761,968,759,966,764,0.04154,0.24385,-0.96892,-0.04727,0.24003,-0.96961,3.723,3.716,3.711,,,,Valid,Valid,235.4,34.4,688.8,298.0,38.4,689.2,265.0,207.7,264.4,209.0,0.5037,0.705,0.5043,0.7028,0.5031,0.7073,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387840554,483617465453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337971518,,,962,758,960,752,963,765,0.03834,0.24133,-0.96969,-0.0483,0.24031,-0.96949,3.714,3.696,3.715,,,,Valid,Valid,235.4,34.4,688.8,298.0,38.4,689.2,262.7,205.8,263.6,209.3,0.5008,0.7022,0.4999,0.6963,0.5017,0.708,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387844554,483617469453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337975518,,,970,757,967,758,974,756,0.04096,0.24343,-0.96905,-0.04439,0.23736,-0.97041,3.7,3.709,3.711,,,,Valid,Valid,235.4,34.4,688.8,298.0,38.4,689.2,264.6,207.4,266.4,207.0,0.5053,0.701,0.5035,0.7017,0.5071,0.7004,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387848554,483617473453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337979518,,,960,759,954,758,965,759,0.03602,0.24369,-0.96918,-0.04751,0.23816,-0.97006,3.705,3.717,3.711,,,,Valid,Valid,235.4,34.4,688.9,298.0,38.4,689.2,261.0,207.6,264.2,207.6,0.4998,0.7024,0.4968,0.7023,0.5028,0.7025,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387852554,483617477453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337983518,,,964,760,964,760,964,761,0.03986,0.24409,-0.96893,-0.04791,0.23905,-0.96983,3.726,3.698,3.715,,,,Valid,Valid,235.4,34.4,688.9,298.0,38.4,689.2,263.8,207.9,263.9,208.3,0.5021,0.7041,0.502,0.7034,0.5023,0.7048,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
387856554,483617481453,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1337987518,,,963,759,959,758,967,759,0.03784,0.24362,-0.96913,-0.04682,0.23825,-0.97008,3.717,3.714,3.718,,,,Valid,Valid,235.4,34.4,688.8,298.0,38.5,689.2,262.3,207.5,264.7,207.7,0.5015,0.7025,0.4993,0.7022,0.5038,0.7028,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,4428,846,970,753,0.5051,0.6974,,,,,,,,,,,
