Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
605887458,483835512357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556020456,,,954,730,947,736,962,725,0.04583,0.22857,-0.97245,-0.03695,0.22188,-0.97437,3.719,3.64,3.673,,,,Valid,Valid,226.6,39.0,691.1,289.3,41.4,689.3,259.2,201.5,263.1,198.3,0.4971,0.6763,0.4933,0.6816,0.5008,0.671,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605891458,483835516357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556024456,,,958,733,949,745,967,721,0.04655,0.23177,-0.97166,-0.03489,0.2207,-0.97472,3.712,3.648,3.668,,,,Valid,Valid,226.6,39.0,691.1,289.3,41.4,689.4,259.7,203.9,264.6,197.4,0.499,0.6789,0.4943,0.6898,0.5036,0.668,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605895458,483835520357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556028456,,,956,731,948,743,963,720,0.04609,0.23099,-0.97186,-0.03635,0.22004,-0.97481,3.7,3.632,3.669,,,,Valid,Valid,226.6,39.0,691.1,289.3,41.4,689.3,259.4,203.3,263.6,197.0,0.4977,0.6771,0.4937,0.6878,0.5017,0.6664,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605899458,483835524357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556032456,,,954,736,944,742,965,730,0.04446,0.23059,-0.97203,-0.03573,0.22398,-0.97394,3.703,3.63,3.667,,,,Valid,Valid,226.6,39.0,691.1,289.3,41.3,689.4,258.3,203.0,264.0,199.9,0.497,0.6815,0.4915,0.6867,0.5025,0.6763,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605903458,483835528357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556036456,,,950,732,937,740,963,724,0.04197,0.22999,-0.97229,-0.0365,0.22166,-0.97444,3.701,3.636,3.667,,,,Valid,Valid,226.7,39.0,691.2,289.3,41.4,689.3,256.5,202.5,263.5,198.2,0.4948,0.6777,0.4881,0.6851,0.5015,0.6704,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605907458,483835532357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556040456,,,952,733,940,746,965,720,0.04284,0.23228,-0.97171,-0.03587,0.22,-0.97484,3.696,3.633,3.667,,,,Valid,Valid,226.7,39.0,691.1,289.3,41.4,689.3,257.1,204.2,264.0,196.9,0.4959,0.6786,0.4894,0.6909,0.5024,0.6663,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605911458,483835536357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556044456,,,952,737,937,741,966,733,0.04186,0.23056,-0.97216,-0.03521,0.22502,-0.97372,3.701,3.634,3.666,,,,Valid,Valid,226.7,39.0,691.1,289.3,41.4,689.2,256.4,202.9,264.4,200.7,0.4956,0.6827,0.488,0.6865,0.5032,0.6789,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605915458,483835540357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556048456,,,953,739,947,751,959,726,0.04574,0.23399,-0.97116,-0.03818,0.22247,-0.97419,3.699,3.633,3.665,,,,Valid,Valid,226.7,39.0,691.1,289.3,41.4,689.2,259.2,205.5,262.3,198.8,0.4963,0.6839,0.4934,0.6953,0.4993,0.6725,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605919458,483835544357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556052456,,,956,738,947,749,966,726,0.04544,0.2335,-0.97129,-0.03517,0.22239,-0.97432,3.697,3.624,3.661,,,,Valid,Valid,226.7,39.0,691.1,289.3,41.4,689.1,259.0,205.1,264.5,198.7,0.4982,0.6831,0.493,0.694,0.5033,0.6723,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
605923458,483835548357,Eye Tracker,LipReading_BJ,10/21/2025,JHP,Recording20,10/18/2025,10/18/2025,13:15:10.650,05:15:10.650,635477,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.3,2.7,3.3,0.17,0.2,0.25,9,10,12,5.5,10.0,9.1,0.41,0.74,0.66,20,37,33,1556056456,,,949,739,941,751,958,728,0.0434,0.23407,-0.97125,-0.03853,0.22306,-0.97404,3.69,3.602,3.652,,,,Valid,Valid,226.7,38.9,691.1,289.4,41.4,689.1,257.6,205.5,262.1,199.2,0.4945,0.6847,0.4902,0.6953,0.4988,0.6741,Screen Recording,Screen Recording Recording20.mp4,1920,1080,0,0,960,540,Fixation,968,1313,953,736,0.4963,0.6812,,,,,,,,,,,
