Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
189448184,468827832273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044931543,,,989,744,984,740,995,748,0.1106,0.22386,-0.96832,-0.00553,0.22942,-0.97331,3.001,3.051,3.036,,,,Valid,Valid,214.0,90.8,483.6,275.0,89.9,486.7,269.2,202.6,272.3,204.6,0.5152,0.6887,0.5123,0.6853,0.5181,0.6922,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189452184,468827836273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044935543,,,987,741,983,741,991,741,0.11028,0.22421,-0.96828,-0.00741,0.22627,-0.97404,3.008,3.036,3.034,,,,Valid,Valid,213.9,90.8,483.6,275.0,89.9,486.7,269.0,202.7,271.3,202.9,0.5142,0.6863,0.512,0.6859,0.5164,0.6866,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189456184,468827840273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044939543,,,984,741,980,735,989,747,0.10846,0.22135,-0.96914,-0.00873,0.22933,-0.97331,3.021,3.059,3.022,,,,Valid,Valid,213.9,90.8,483.5,275.0,89.9,486.6,268.1,201.2,270.7,204.5,0.5126,0.6864,0.5102,0.6807,0.5151,0.692,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189460184,468827844273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044943543,,,988,740,984,733,992,747,0.11066,0.21999,-0.9692,-0.00716,0.22922,-0.97335,3.017,3.036,3.022,,,,Valid,Valid,214.0,90.8,483.5,275.0,89.9,486.7,269.2,200.5,271.4,204.5,0.5144,0.6851,0.5123,0.6784,0.5166,0.6918,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189464184,468827848273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044947543,,,991,740,980,732,1002,749,0.10862,0.21981,-0.96948,-0.00143,0.23007,-0.97317,3.004,3.028,3.022,,,,Valid,Valid,213.9,90.8,483.5,275.0,89.9,486.7,268.1,200.4,274.3,204.9,0.5162,0.6856,0.5103,0.678,0.5221,0.6933,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189468184,468827852273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044951543,,,990,746,980,736,1000,755,0.10883,0.22198,-0.96896,-0.00282,0.23314,-0.97244,3.008,3.036,3.022,,,,Valid,Valid,214.0,90.8,483.5,275.0,89.9,486.7,268.3,201.5,273.6,206.5,0.5156,0.6903,0.5105,0.6819,0.5207,0.6988,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189472184,468827856273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044955543,,,977,743,968,741,986,745,0.10237,0.22467,-0.96904,-0.01043,0.22803,-0.9736,2.993,3.057,3.03,,,,Valid,Valid,214.0,90.8,483.5,275.0,89.8,486.7,265.0,202.9,269.8,203.8,0.5089,0.688,0.5044,0.6864,0.5135,0.6896,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189476184,468827860273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044959543,,,990,744,986,744,995,745,0.1116,0.22571,-0.96778,-0.00523,0.22825,-0.97359,3.02,3.054,3.03,,,,Valid,Valid,214.0,90.8,483.5,275.0,89.9,486.7,269.7,203.5,272.4,203.9,0.5159,0.6893,0.5133,0.6886,0.5185,0.69,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189480184,468827864273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044963543,,,993,741,991,743,994,740,0.11481,0.22516,-0.96753,-0.00612,0.2255,-0.97422,3.005,3.054,3.03,,,,Valid,Valid,214.0,90.8,483.4,275.0,89.8,486.7,271.3,203.3,272.0,202.5,0.517,0.6864,0.5164,0.6878,0.5176,0.6851,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189484184,468827868273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044967543,,,984,744,975,740,992,749,0.10574,0.22393,-0.96885,-0.00691,0.23013,-0.97314,3.005,3.066,3.03,,,,Valid,Valid,214.0,90.8,483.4,275.0,89.8,486.7,266.7,202.5,271.6,204.9,0.5122,0.6893,0.5076,0.6852,0.5169,0.6934,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189488184,468827872273,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044971543,,,984,740,988,741,981,738,0.11288,0.22414,-0.968,-0.01336,0.22476,-0.97432,3.023,3.039,3.03,,,,Valid,Valid,214.0,90.8,483.4,275.1,89.8,486.7,270.3,202.7,268.4,202.1,0.5126,0.6849,0.5145,0.6859,0.5108,0.6838,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189492183,468827876272,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044975543,,,982,744,977,742,987,746,0.10713,0.22489,-0.96848,-0.01012,0.2289,-0.9734,3.004,3.048,3.029,,,,Valid,Valid,214.0,90.8,483.4,275.1,89.8,486.7,267.4,203.0,270.0,204.3,0.5114,0.6891,0.509,0.687,0.5138,0.6912,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
189496183,468827880272,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4044979543,,,982,745,978,744,985,747,0.10771,0.22613,-0.96812,-0.01086,0.22897,-0.97337,3.008,3.057,3.031,,,,Valid,Valid,214.0,90.8,483.4,275.1,89.8,486.7,267.8,203.7,269.6,204.3,0.5114,0.6903,0.5096,0.6892,0.5131,0.6913,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,320,452,986,742,0.5135,0.6872,,,,,,,,,,,
