Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
332532731,468970916820,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188017546,,,992,719,1001,719,983,719,0.11644,0.20993,-0.97076,-0.01221,0.21302,-0.97697,2.931,3.023,2.96,,,,Valid,Valid,214.1,88.8,499.6,275.2,87.2,502.4,274.1,196.8,269.0,196.7,0.5167,0.6657,0.5216,0.6659,0.5119,0.6655,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332536731,468970920820,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188021546,,,988,713,993,716,984,710,0.11183,0.20822,-0.97167,-0.01141,0.20832,-0.97799,2.888,3.004,2.961,,,,Valid,Valid,214.1,88.8,499.6,275.3,87.2,502.4,271.6,195.9,269.4,194.2,0.5148,0.6598,0.517,0.6627,0.5127,0.657,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332540732,468970924821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188025547,,,990,716,1001,717,979,714,0.11602,0.20876,-0.97106,-0.01439,0.21081,-0.97742,2.915,3.003,2.963,,,,Valid,Valid,214.1,88.8,499.6,275.3,87.1,502.5,273.8,196.2,267.9,195.5,0.5155,0.6627,0.5211,0.6639,0.5098,0.6615,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332544732,468970928821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188029547,,,985,719,994,720,975,717,0.11259,0.21023,-0.97115,-0.0163,0.2122,-0.97709,2.903,3.012,2.963,,,,Valid,Valid,214.2,88.8,499.6,275.3,87.2,502.5,272.1,197.0,266.9,196.3,0.5129,0.6653,0.5178,0.6665,0.5079,0.6641,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332548732,468970932821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188033547,,,981,715,990,711,971,719,0.11052,0.20561,-0.97237,-0.01856,0.21292,-0.97689,2.922,3.028,2.963,,,,Valid,Valid,214.2,88.8,499.7,275.3,87.2,502.6,271.0,194.5,265.7,196.7,0.5107,0.6618,0.5157,0.6581,0.5057,0.6655,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332552732,468970936821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188037547,,,985,715,993,714,976,717,0.11224,0.20716,-0.97185,-0.01608,0.21184,-0.97717,2.917,3.02,2.967,,,,Valid,Valid,214.2,88.9,499.7,275.3,87.2,502.6,271.9,195.4,267.0,196.1,0.5128,0.6623,0.5174,0.6611,0.5082,0.6635,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332556732,468970940821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188041547,,,991,707,1001,702,980,713,0.11644,0.20069,-0.97271,-0.01364,0.21,-0.97761,2.914,3.003,2.97,,,,Valid,Valid,214.2,88.9,499.7,275.3,87.1,502.7,274.0,192.0,268.3,195.1,0.5161,0.6549,0.5215,0.6496,0.5106,0.6602,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332560732,468970944821,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188045547,,,987,712,994,706,981,717,0.11233,0.20293,-0.97273,-0.01353,0.21209,-0.97716,2.91,3.025,2.97,,,,Valid,Valid,214.2,89.0,499.6,275.4,87.1,502.8,271.9,193.2,268.4,196.3,0.5141,0.6588,0.5175,0.6536,0.5108,0.664,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332564731,468970948820,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188049547,,,988,717,1000,713,976,720,0.11555,0.20665,-0.97157,-0.01592,0.21329,-0.97686,2.936,3.023,2.979,,,,Valid,Valid,214.3,89.0,499.5,275.4,87.1,502.8,273.7,195.3,267.2,196.9,0.5147,0.6634,0.5208,0.6606,0.5085,0.6663,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332568731,468970952820,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188053547,,,991,716,994,716,989,716,0.1123,0.20818,-0.97162,-0.00941,0.21122,-0.97739,2.94,3.022,2.981,,,,Valid,Valid,214.3,89.0,499.5,275.4,87.2,502.8,272.0,196.1,270.6,195.8,0.5163,0.6629,0.5177,0.6634,0.5149,0.6625,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332572730,468970956819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188057546,,,986,718,991,719,980,717,0.1109,0.20919,-0.97157,-0.014,0.21211,-0.97715,2.95,3.014,2.978,,,,Valid,Valid,214.3,89.1,499.5,275.4,87.2,502.7,271.3,196.6,268.2,196.3,0.5134,0.6648,0.5164,0.6653,0.5105,0.6643,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332576730,468970960819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188061546,,,987,714,990,716,984,711,0.10994,0.20779,-0.97198,-0.0121,0.20906,-0.97783,2.94,3.004,2.982,,,,Valid,Valid,214.4,89.1,499.5,275.5,87.2,502.8,270.9,195.9,269.2,194.7,0.514,0.6608,0.5155,0.6628,0.5124,0.6587,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332580730,468970964819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188065546,,,989,719,998,720,980,718,0.11431,0.20958,-0.97109,-0.01432,0.21249,-0.97706,2.983,3.016,2.982,,,,Valid,Valid,214.4,89.1,499.6,275.5,87.2,502.9,273.2,196.9,268.1,196.6,0.5151,0.6657,0.52,0.6663,0.5103,0.6651,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332584730,468970968819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188069546,,,984,709,988,711,981,707,0.10867,0.20516,-0.97268,-0.01381,0.20689,-0.97827,2.967,3.001,2.983,,,,Valid,Valid,214.4,89.1,499.6,275.6,87.2,503.0,270.3,194.5,268.5,193.6,0.5126,0.6565,0.5143,0.6581,0.5109,0.6549,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332588316,468970972405,Mouse,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,982,698
332588730,468970972819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188073546,,,988,711,993,710,984,713,0.11134,0.20444,-0.97253,-0.01219,0.20946,-0.97774,2.942,3.04,2.992,,,,Valid,Valid,214.5,89.1,499.6,275.6,87.3,502.9,271.7,194.2,269.3,195.0,0.5148,0.6584,0.517,0.657,0.5126,0.6598,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332592730,468970976819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188077546,,,985,716,992,717,979,714,0.11064,0.20821,-0.97181,-0.01503,0.2103,-0.97752,2.95,3.034,2.999,,,,Valid,Valid,214.5,89.1,499.7,275.7,87.3,502.9,271.4,196.2,267.9,195.5,0.5132,0.6626,0.5165,0.6638,0.5099,0.6614,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332596730,468970980819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188081546,,,986,716,993,714,979,717,0.11148,0.20685,-0.972,-0.01539,0.21151,-0.97726,2.972,3.017,3.002,,,,Valid,Valid,214.6,89.1,499.8,275.7,87.3,503.0,271.9,195.5,267.8,196.1,0.5136,0.6625,0.5174,0.6614,0.5097,0.6636,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332599571,468970983660,Mouse,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,981,697
332600730,468970984819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188085546,,,983,716,992,716,973,716,0.11051,0.20754,-0.97196,-0.01826,0.21125,-0.97726,2.978,3.03,3.003,,,,Valid,Valid,214.6,89.2,499.8,275.8,87.4,502.9,271.4,195.9,266.4,196.1,0.5118,0.6631,0.5166,0.6628,0.5069,0.6634,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
332604730,468970988819,Eye Tracker,LipReading_BJ,10/21/2025,WJW,Recording4,10/18/2025,10/18/2025,09:11:59.399,01:11:59.399,531993,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,5.5,4.4,5.7,0.58,0.47,0.61,20,16,21,4.1,1.5,1.9,0.46,0.17,0.21,15,6,7,4188089546,,,983,710,987,705,979,715,0.10769,0.20204,-0.97344,-0.01533,0.21029,-0.97752,2.971,3.039,3.004,,,,Valid,Valid,214.7,89.2,499.9,275.8,87.4,502.9,270.0,192.9,267.9,195.6,0.5119,0.6573,0.5138,0.6528,0.5099,0.6618,Screen Recording,Screen Recording Recording4.mp4,1920,1080,0,0,960,540,Fixation,220,939,988,713,0.5146,0.6603,,,,,,,,,,,
