Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
587505026,507520170401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719722057,,,970,736,972,738,968,733,0.07914,0.09386,-0.99244,-0.01809,0.08673,-0.99607,4.313,4.552,4.438,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.8,664.3,266.1,202.1,265.0,200.7,0.5054,0.6813,0.5064,0.6837,0.5043,0.679,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587509026,507520174401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719726057,,,967,730,955,724,979,737,0.07199,0.08807,-0.99351,-0.01361,0.08819,-0.99601,4.322,4.552,4.439,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.8,664.3,261.3,198.1,268.0,201.7,0.5036,0.6763,0.4972,0.6704,0.51,0.6823,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587513026,507520178401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719730057,,,975,732,971,727,979,736,0.07859,0.08943,-0.99289,-0.0139,0.08783,-0.99604,4.328,4.555,4.441,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.9,664.3,265.7,199.1,267.8,201.4,0.5077,0.6775,0.5057,0.6736,0.5097,0.6815,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587517026,507520182401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719734057,,,965,743,960,738,970,749,0.07396,0.09387,-0.99283,-0.01755,0.09291,-0.99552,4.33,4.564,4.446,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.8,664.3,262.6,202.1,265.4,204.8,0.5024,0.6884,0.4998,0.6836,0.505,0.6931,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587521026,507520186401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719738057,,,970,730,964,735,975,725,0.07588,0.09263,-0.99281,-0.01547,0.08342,-0.99639,4.332,4.586,4.446,,,,Valid,Valid,213.3,139.4,662.6,277.2,142.9,664.3,263.9,201.2,266.9,198.5,0.5051,0.6762,0.5023,0.6808,0.5079,0.6716,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587525026,507520190401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719742057,,,972,734,964,736,981,733,0.07578,0.09283,-0.99279,-0.01311,0.08653,-0.99616,4.313,4.567,4.446,,,,Valid,Valid,213.3,139.4,662.5,277.1,142.9,664.3,263.9,201.4,268.3,200.6,0.5064,0.6799,0.5022,0.6813,0.5107,0.6786,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587529026,507520194401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719746058,,,965,741,958,744,972,739,0.07325,0.09601,-0.99268,-0.01661,0.08905,-0.99589,4.324,4.557,4.447,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.9,664.3,262.2,203.5,266.0,202.3,0.5026,0.6864,0.499,0.6885,0.5063,0.6844,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587533026,507520198401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719750058,,,972,742,970,743,975,740,0.07802,0.09592,-0.99233,-0.01532,0.08955,-0.99586,4.325,4.57,4.446,,,,Valid,Valid,213.3,139.4,662.6,277.1,142.9,664.2,265.4,203.5,266.9,202.6,0.5065,0.6869,0.5051,0.6884,0.5079,0.6855,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587537026,507520202401,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719754058,,,977,734,971,735,983,733,0.07838,0.09246,-0.99263,-0.01196,0.08649,-0.99618,4.326,4.571,4.448,,,,Valid,Valid,213.3,139.4,662.5,277.1,142.9,664.2,265.6,201.1,269.1,200.6,0.5088,0.6795,0.5055,0.6805,0.5122,0.6786,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
587541028,507520206403,Eye Tracker,LipReading_BJ,10/21/2025,ZSZ,Recording48,10/18/2025,10/18/2025,19:49:33.263,11:49:33.263,976125,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,4.0,4.9,5.7,0.32,0.38,0.44,15,18,21,6.7,3.9,4.1,0.54,0.31,0.33,24,14,15,4719758060,,,967,735,959,729,975,740,0.07365,0.09015,-0.9932,-0.01559,0.08939,-0.99587,4.329,4.558,4.45,,,,Valid,Valid,213.3,139.4,662.5,277.1,142.9,664.3,262.4,199.6,266.7,202.5,0.5035,0.6802,0.4994,0.6752,0.5076,0.6852,Screen Recording,Screen Recording Recording48.mp4,1920,1080,0,0,960,540,Fixation,4540,1266,969,725,0.5047,0.6715,,,,,,,,,,,
