Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Eye openness left,Eye openness right,Eye openness filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
476428887,512552288794,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608963748,,,966,710,975,700,957,720,0.06698,0.08944,-0.99374,-0.06393,0.0905,-0.99384,3.723,3.6,3.668,,,,Valid,Valid,229.1,141.4,557.4,298.4,145.4,565.7,266.7,191.5,262.0,197.0,0.5031,0.6572,0.5076,0.648,0.4987,0.6664,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476432887,512552292794,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608967748,,,960,705,966,691,955,719,0.06265,0.08511,-0.9944,-0.06521,0.09007,-0.9938,3.756,3.595,3.669,,,,Valid,Valid,229.1,141.4,557.4,298.4,145.5,565.7,264.2,189.1,261.3,196.7,0.5001,0.6526,0.5029,0.6397,0.4973,0.6656,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476436887,512552296794,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608971748,,,958,714,964,702,953,725,0.06191,0.09033,-0.99399,-0.06612,0.09322,-0.99345,3.765,3.606,3.667,,,,Valid,Valid,229.1,141.4,557.4,298.4,145.4,565.7,263.8,192.0,260.7,198.5,0.4992,0.6607,0.5021,0.6497,0.4962,0.6717,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476440888,512552300795,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608975749,,,954,712,961,704,946,720,0.06055,0.0913,-0.99398,-0.06917,0.09064,-0.99348,3.739,3.591,3.667,,,,Valid,Valid,229.1,141.3,557.4,298.4,145.4,565.7,263.1,192.6,259.0,197.1,0.4968,0.6591,0.5007,0.6515,0.4929,0.6667,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476444888,512552304795,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608979749,,,959,708,966,700,952,716,0.06304,0.08977,-0.99396,-0.06666,0.08855,-0.99384,3.727,3.563,3.672,,,,Valid,Valid,229.1,141.3,557.5,298.4,145.4,565.7,264.5,191.7,260.4,195.8,0.4995,0.6556,0.5033,0.6486,0.4956,0.6626,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476448886,512552308793,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608983747,,,959,705,963,700,955,710,0.06166,0.08977,-0.99405,-0.065,0.08607,-0.99417,3.725,3.605,3.666,,,,Valid,Valid,229.1,141.3,557.5,298.4,145.4,565.7,263.7,191.7,261.4,194.4,0.4996,0.6532,0.5018,0.6486,0.4975,0.6578,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476452886,512552312793,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608987747,,,967,708,973,691,960,725,0.06616,0.08514,-0.99417,-0.06238,0.09296,-0.99371,3.76,3.608,3.669,,,,Valid,Valid,229.1,141.4,557.4,298.4,145.4,565.7,266.2,189.1,262.8,198.4,0.5034,0.6555,0.5066,0.6398,0.5002,0.6711,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476456886,512552316793,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608991747,,,972,709,975,693,970,725,0.06721,0.08627,-0.994,-0.05801,0.09285,-0.99399,3.745,3.593,3.672,,,,Valid,Valid,229.1,141.3,557.5,298.4,145.4,565.7,266.8,189.7,265.3,198.3,0.5064,0.6564,0.5077,0.6419,0.505,0.6709,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476460885,512552320792,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608995746,,,967,709,967,701,967,718,0.06345,0.09019,-0.9939,-0.05943,0.08955,-0.99421,3.747,3.588,3.671,,,,Valid,Valid,229.1,141.3,557.5,298.4,145.4,565.7,264.7,191.9,264.5,196.4,0.5036,0.6569,0.5037,0.6494,0.5035,0.6645,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
476464886,512552324793,Eye Tracker,LipReading_BJ,10/21/2025,ZJ,Recording54,10/18/2025,10/18/2025,21:15:16.594,13:15:16.594,535262,Timeline1,Tobii I-VT (Fixation),1.241.54219,1080,1920,10.0,2.8,2.1,2.7,0.26,0.2,0.25,10,8,10,4.8,8.1,6.0,0.48,0.81,0.58,18,30,22,2608999747,,,966,713,967,702,964,725,0.06354,0.09044,-0.99387,-0.06079,0.09288,-0.99382,3.733,3.599,3.67,,,,Valid,Valid,229.1,141.3,557.5,298.3,145.5,565.7,264.7,192.1,263.7,198.3,0.5029,0.6604,0.5038,0.6499,0.5019,0.671,Screen Recording,Screen Recording Recording54.mp4,1920,1080,0,0,960,540,Fixation,628,1131,963,707,0.5017,0.655,,,,,,,,,,,
